#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
275062	351	321	106848	106818	-	-	APP	APBA2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	Affinity Capture-Western	physical	Biederer T (2002)	PUBMED:12196555	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q99767	Q59G28	NP_001123886|NP_005494	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275063	351	9546	106848	114920	-	-	APP	APBA3	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	MGC:15815|X11L2|mint3	Affinity Capture-Western	physical	Biederer T (2002)	PUBMED:12196555	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	O96018	-	NP_004877	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275067	351	320	106848	106817	-	-	APP	APBA1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	Reconstituted Complex	physical	Biederer T (2002)	PUBMED:12196555	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q02410	-	NP_001154	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275068	351	321	106848	106818	-	-	APP	APBA2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	Reconstituted Complex	physical	Biederer T (2002)	PUBMED:12196555	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q99767	Q59G28	NP_001123886|NP_005494	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275069	351	9546	106848	114920	-	-	APP	APBA3	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	MGC:15815|X11L2|mint3	Reconstituted Complex	physical	Biederer T (2002)	PUBMED:12196555	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	O96018	-	NP_004877	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278282	1601	351	107971	106848	-	-	DAB2	APP	DOC-2|DOC2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Morris SM (2001)	PUBMED:11247302	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P98082	A0A024R036|B2RAW0	NP_001231800|NP_001334	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279186	811	351	107262	106848	-	-	CALR	APP	CRT|HEL-S-99n|RO|SSA|cC1qR	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Johnson RJ (2001)	PUBMED:11378243	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P27797	V9HW88	NP_004334	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280620	351	84570	106848	124143	-	-	APP	COL25A1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	AMY|CLAC|CLAC-P|CLACP	Reconstituted Complex	physical	Hashimoto T (2002)	PUBMED:11927537	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q9BXS0	A8MWQ5	NP_942014|NP_001243003|NP_115907	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280621	84570	351	124143	106848	-	-	COL25A1	APP	AMY|CLAC|CLAC-P|CLACP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Co-localization	physical	Hashimoto T (2002)	PUBMED:11927537	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9BXS0	A8MWQ5	NP_942014|NP_001243003|NP_115907	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280797	351	3028	106848	109278	-	RP3-339A18.2	APP	HSD17B10	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	Two-hybrid	physical	Yan SD (1997)	PUBMED:9338779	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q99714	-	NP_004484|NP_001032900	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280798	351	3028	106848	109278	-	RP3-339A18.2	APP	HSD17B10	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	Reconstituted Complex	physical	Yan SD (1997)	PUBMED:9338779	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q99714	-	NP_004484|NP_001032900	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280799	351	3028	106848	109278	-	RP3-339A18.2	APP	HSD17B10	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	Affinity Capture-Western	physical	Yan SD (1997)	PUBMED:9338779	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q99714	-	NP_004484|NP_001032900	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282814	351	857	106848	107305	-	-	APP	CAV1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21	Co-fractionation	physical	Ikezu T (1998)	PUBMED:9553108	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q03135	A0A024R757|Q2TNI1|Q59E85|Q7Z4F3|A9XTE5	NP_001744|NP_001166368|NP_001166366|NP_001166367	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282815	351	857	106848	107305	-	-	APP	CAV1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21	Protein-RNA	physical	Ikezu T (1998)	PUBMED:9553108	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q03135	A0A024R757|Q2TNI1|Q59E85|Q7Z4F3|A9XTE5	NP_001744|NP_001166368|NP_001166366|NP_001166367	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283425	321	351	106818	106848	-	-	APBA2	APP	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Two-hybrid	physical	Tomita S (1999)	PUBMED:9890987	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99767	Q59G28	NP_001123886|NP_005494	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
283426	321	351	106818	106848	-	-	APBA2	APP	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Tomita S (1999)	PUBMED:9890987	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99767	Q59G28	NP_001123886|NP_005494	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286592	3831	351	110029	106848	RP11-73M18.7	-	KLC1	APP	KLC|KNS2|KNS2A	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Kamal A (2000)	PUBMED:11144355	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q07866	Q7RTQ2	NP_005543|NP_001123579|NP_891553	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287096	23385	351	116961	106848	RP11-517F10.1	-	NCSTN	APP	ATAG1874	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Yu G (2000)	PUBMED:10993067	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92542	B4DR82	NP_001277115|NP_056146|NP_001277113	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287273	351	10513	106848	115769	-	-	APP	APPBP2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	APP-BP2|HS.84084|PAT1	Reconstituted Complex	physical	Zheng P (1998)	PUBMED:9843960	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q92624	A0A024QZ47	NP_001269405|NP_006371	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287630	351	633	106848	107102	-	-	APP	BGN	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	DSPG1|PG-S1|PGI|SLRR1A	Reconstituted Complex	physical	Snow AD (1995)	PUBMED:7793988	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	P21810	-	NP_001702	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289045	320	351	106817	106848	-	-	APBA1	APP	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Borg JP (1996)	PUBMED:8887653	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q02410	-	NP_001154	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289046	322	351	106819	106848	-	-	APBB1	APP	FE65|MGC:9072|RIR	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Borg JP (1996)	PUBMED:8887653	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00213	B7Z4M9	NP_001244250|NP_001244252|NP_001155|NP_001244254|NP_001244248|NP_001244249|NP_663722|NP_001244255	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289047	351	322	106848	106819	-	-	APP	APBB1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	FE65|MGC:9072|RIR	Reconstituted Complex	physical	Borg JP (1996)	PUBMED:8887653	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	O00213	B7Z4M9	NP_001244250|NP_001244252|NP_001155|NP_001244254|NP_001244248|NP_001244249|NP_663722|NP_001244255	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289048	351	320	106848	106817	-	-	APP	APBA1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	Reconstituted Complex	physical	Borg JP (1996)	PUBMED:8887653	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q02410	-	NP_001154	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289049	322	351	106819	106848	-	-	APBB1	APP	FE65|MGC:9072|RIR	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Borg JP (1996)	PUBMED:8887653	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00213	B7Z4M9	NP_001244250|NP_001244252|NP_001155|NP_001244254|NP_001244248|NP_001244249|NP_663722|NP_001244255	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289050	320	351	106817	106848	-	-	APBA1	APP	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Affinity Capture-Western	physical	Borg JP (1996)	PUBMED:8887653	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q02410	-	NP_001154	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289199	351	6622	106848	112506	-	-	APP	SNCA	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	NACP|PARK1|PARK4|PD1	Reconstituted Complex	physical	Jensen PH (1997)	PUBMED:9163350	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	P37840	H6UYS5	NP_000336|NP_009292|NP_001362216|NP_001362217|NP_001362214|NP_001362215|NP_001139526|NP_001139527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289200	351	6620	106848	112504	-	-	APP	SNCB	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	-	Reconstituted Complex	physical	Jensen PH (1997)	PUBMED:9163350	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	Q16143	-	NP_003076|NP_001304964|NP_001304965|NP_001304966|NP_001001502|NP_001304963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
289221	1600	351	107970	106848	RP6-239D12.2	-	DAB1	APP	-	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Homayouni R (1999)	PUBMED:10460257	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75553	-	NP_066566	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
297151	351	43	106848	106561	-	-	APP	ACHE	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	ACEE|ARACHE|N-ACHE|YT	Reconstituted Complex	physical	Cottingham MG (2002)	PUBMED:12427014	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	P22303	-	NP_001269378|NP_056646|NP_001289551|NP_001289550|NP_000656	-	-	-	-	-	-	Homo sapiens	Homo sapiens
297351	6464	351	112361	106848	RP11-307C12.1	-	SHC1	APP	SHC|SHCA	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Tarr PE (2002)	PUBMED:11877420	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P29353	-	NP_001189788|NP_001123512|NP_001123513|NP_892113|NP_003020	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
